Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic,Companies
543,Longest Palindrome,409,Easy,55.8,9.2,C,Hash Table/String/Greedy,Google
544,Partition Array Into Two Arrays to Minimize Sum Difference,2035,Hard,23.0,9.2,C,Array/Two Pointers/Binary Search/DP/Bitmask,Google
545,Random Pick Index,398,Medium,65.0,9.2,C,Hash Table/Math/Reservoir Sampling/Randomized,Meta
546,Remove All Adjacent Duplicates in String II,1209,Medium,60.9,9.2,C,String/Stack,Meta
547,Shortest Path Visiting All Nodes,847,Hard,65.8,9.2,C,DP/BFS/Bit Manipulation/Graph/Bitmask,Google
548,Shortest Path in a Hidden Grid,1778,Medium,44.5,9.2,C,Array/DFS/BFS/Interactive,Meta
549,Time Taken to Cross the Door,2534,Hard,50.1,9.2,C,Array/Simulation/Queue,Google
550,Toeplitz Matrix,766,Easy,69.7,9.2,C,Array/Matrix,Meta
551,Count Numbers with Unique Digits,357,Medium,55.4,9.1,C,Math/DP/Backtracking,Google
552,Delete Nodes From Linked List Present in Array,3217,Medium,69.5,9.1,C,Array/Hash Table/Linked List,Google
553,Graph Valid Tree,261,Medium,49.8,9.1,C,Graph/DFS/BFS/Union Find,Google
554,Keys and Rooms,841,Medium,75.5,9.1,C,DFS/BFS/Graph,Google
555,Queue Reconstruction by Height,406,Medium,74.6,9.1,C,Array/Sorting/BIT/Segment Tree,Google
556,Recover Binary Search Tree,99,Medium,58.8,9.1,C,Tree/DFS/BST/BFS,Google
557,Remove Sub-Folders from the Filesystem,1233,Medium,78.6,9.1,C,Array/String/Trie,Google
558,Find in Mountain Array,1095,Hard,41.2,8.9,C,Array/Binary Search/Interactive,Google
559,Flatten Nested List Iterator,341,Medium,65.6,8.9,C,Stack/Tree/DFS/Design/Queue/Iterator,Google
560,Increasing Triplet Subsequence,334,Medium,39.2,8.9,C,Array/Greedy,Google
561,Longest Absolute File Path,388,Medium,49.2,8.9,C,String/Stack/DFS,Google
562,Longest Arithmetic Subsequence of Given Difference,1218,Medium,54.3,8.9,C,Array/Hash Table/DP,Google
563,Maximum Sum of 3 Non-Overlapping Subarrays,689,Hard,59.7,8.9,C,Array/DP,Google
564,Minimum Falling Path Sum,931,Medium,60.8,8.9,C,Array/DP/Matrix,Google
565,Minimum Interval to Include Each Query,1851,Hard,54.0,8.9,C,Array/Binary Search/Sorting/Heap,Google
566,New 21 Game,837,Medium,52.0,8.9,C,Math/DP/Sliding Window/Probability,Google
567,Number of 1 Bits,191,Easy,76.4,8.9,C,Divide&Conquer/Bit Manipulation,Google
568,K-th Smallest in Lexicographical Order,440,Hard,46.2,8.6,C,Trie/Math/DFS,Google
569,Max Chunks To Make Sorted,769,Medium,64.1,8.6,C,Array/Stack/Greedy/Sorting/Monotonic Stack,Google
570,Max Points on a Line,149,Hard,30.3,8.6,C,Array/Hash Table/Math/Geometry,Meta
571,Maximum Level Sum of a Binary Tree,1161,Medium,70.0,8.6,C,Tree/DFS/BFS,Google
572,Minimum Absolute Difference in BST,530,Easy,59.2,8.6,C,Tree/DFS/BST/BFS,Google
573,Minimum Domino Rotations For Equal Row,1007,Medium,56.5,8.6,C,Array/Greedy,Google
574,Path Sum III,437,Medium,46.3,8.6,C,Tree/DFS/Prefix Sum,Google
575,Range Sum Query 2D - Immutable,304,Medium,57.9,8.6,C,Array/Design/Matrix/Prefix Sum,Google
576,Snakes and Ladders,909,Medium,48.0,8.6,C,Array/BFS/Matrix,Google
577,Delete the Middle Node of a Linked List,2095,Medium,59.5,8.4,C,Linked List/Two Pointers,Google
578,Intersection of Two Arrays II,350,Easy,59.7,8.4,C,Array/Hash Table/Two Pointers/Sorting,Google
579,Longest Duplicate Substring,1044,Hard,31.1,8.4,C,String/Binary Search/Rolling Hash/Suffix Array,Google
580,Minimum Operations to Reduce X to Zero,1658,Medium,40.4,8.4,C,Array/Hash Table/Binary Search/Sliding Window/Prefix Sum,Google
581,Remove Duplicates from Sorted List II,82,Medium,51.3,8.4,C,Linked List/Two Pointers,Google
582,Convert Sorted List to Binary Search Tree,109,Medium,66.0,7.8,C,Linked List/Divide&Conquer/Tree/BST,Meta
583,Restore IP Addresses,93,Medium,55.3,7.8,C,String/Backtracking,Meta
584,2 Keys Keyboard,650,Medium,59.4,7.2,C,Math/Dynamic Programming,Uber
585,Amount of New Area Painted Each Day,2158,Hard,55.7,7.2,C,Array/Hash Table/Ordered Set,Uber
586,Amount of Time for Binary Tree to Be Infected,2385,Medium,65.6,7.2,C,Hash Table/Tree/DFS/BFS,Uber
587,Binary Tree Longest Consecutive Sequence II,549,Medium,50.1,7.2,C,Tree/DFS/Binary Tree,Uber
588,Bomb Enemy,361,Medium,52.8,7.2,C,Array/Dynamic Programming/Matrix,Uber
589,Cache With Time Limit,2622,Medium,76.2,7.2,C,Design/JavaScript,Uber
590,Can I Win,464,Medium,31.5,7.2,C,Math/Dynamic Programming/Bit Manipulation/Game Theory/Memoization,Uber
591,Check if the Rectangle Corner Is Reachable,3235,Hard,25.2,7.2,C,Array/Math/DFS/BFS/Union-Find,Uber
592,Cherry Pickup II,1463,Hard,72.5,7.2,C,Array/Dynamic Programming/Matrix,Uber
593,Complete Binary Tree Inserter,919,Medium,65.1,7.2,C,Tree/BFS/Design,Uber
594,Count Binary Substrings,696,Easy,70.5,7.2,C,Two Pointers/String,Uber
595,Count Different Palindromic Subsequences,730,Hard,48.0,7.2,C,String/Dynamic Programming,Uber
596,Count Integers in Intervals,2276,Hard,36.0,7.2,C,Design/Segment Tree/Ordered Set,Uber
597,Count Palindromic Subsequences,2484,Hard,41.3,7.2,C,String/Dynamic Programming,Uber
598,Count Prefix and Suffix Pairs II,3045,Hard,28.6,7.2,C,Array/String/Trie/Rolling Hash,Uber
599,Create Target Array in the Given Order,1389,Easy,86.5,7.2,C,Array/Simulation,Uber
600,Design A Leaderboard,1244,Medium,68.1,7.2,C,Hash Table/Design/Sorting,Uber
601,Design Search Autocomplete System,642,Hard,50.0,7.2,C,Hash Table/String/Trie/Design,Uber
602,Design Snake Game,353,Medium,40.0,7.2,C,Array/Hash Table/Design/Queue/Simulation,Uber
603,Design Twitter,355,Medium,45.0,7.2,C,Hash Table/Linked List/Design/Heap,Uber
604,Find All People With Secret,2092,Hard,48.4,7.2,C,DFS/BFS/Union-Find/Graph/Sorting,Uber
605,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,1489,Hard,66.6,7.2,C,Union-Find/Graph/Sorting/MST,Uber
606,Find the Celebrity,277,Medium,49.0,7.2,C,Two Pointers/Graph/Interactive,Uber
607,Find the Maximum Length of Valid Subsequence II,3202,Medium,57.1,7.2,C,Array/Dynamic Programming,Uber
608,Find the Most Competitive Subsequence,1673,Medium,53.1,7.2,C,Array/Stack/Greedy/Monotonic Stack,Uber
609,Freedom Trail,514,Hard,59.4,7.2,C,String/Dynamic Programming/DFS/Breadth-First Search,Uber
610,Furthest Building You Can Reach,1642,Medium,51.0,7.2,C,Array/Greedy/Heap,Uber
611,Get Biggest Three Rhombus Sums in a Grid,1878,Medium,71.3,7.2,C,Array/Math/Sorting/Prefix Sum,Uber
612,Graph Connectivity With Threshold,1627,Hard,49.7,7.2,C,Array/Math/Union-Find/Number Theory,Uber
613,Human Traffic of Stadium,601,Hard,51.5,7.2,C,Database,Uber
614,IPO,502,Hard,53.6,7.2,C,Array/Greedy/Sorting/Heap,Uber
615,Insert Delete GetRandom O(1) - Duplicates allowed,381,Hard,36.7,7.2,C,Array/Hash Table/Math/Design,Uber
616,Integer Replacement,397,Medium,37.7,7.2,C,Dynamic Programming/Greedy/Bit Manipulation/Memoization,Uber
617,Kth Smallest Number in Multiplication Table,668,Hard,54.3,7.2,C,Math/Binary Search,Uber
618,Largest 1-Bordered Square,1139,Medium,52.2,7.2,C,Array/Dynamic Programming/Matrix,Uber
619,Linked List Components,817,Medium,58.0,7.2,C,Array/Hash Table/Linked List,Uber
620,Magnetic Force Between Two Balls,1552,Medium,72.3,7.2,C,Array/Binary Search/Sorting,Uber
621,Matchsticks to Square,473,Medium,42.0,7.2,C,Array/Dynamic Programming/Backtracking/Bit Manipulation,Uber
622,Maximize Sum Of Array After K Negations,1005,Easy,54.0,7.2,C,Array/Greedy/Sorting,Uber
623,Maximum Frequency Stack,895,Hard,66.9,7.2,C,Hash Table/Stack/Design,Uber
624,Maximum Manhattan Distance After K Changes,3443,Medium,54.2,7.2,C,Hash Table/Math/String/Counting,Uber
625,Maximum Number of Accepted Invitations,1820,Medium,52.7,7.2,C,Array/Graph/Matrix,Uber
626,Maximum Number of Points From Grid Queries,2503,Hard,59.3,7.2,C,Array/Two Pointers/BFS/Union-Find/Heap,Uber
627,Meeting Rooms,252,Easy,59.5,7.2,C,Array/Sorting,Uber
628,Meeting Scheduler,1229,Medium,55.2,7.2,C,Array/Two Pointers/Sorting,Uber
629,Minimize Malware Spread,924,Hard,43.3,7.2,C,Array/Hash Table/DFS/BFS/Union-Find,Uber
630,Minimize Malware Spread II,928,Hard,45.7,7.2,C,Array/Hash Table/DFS/BFS/Union-Find,Uber
631,Minimum Cost to Merge Stones,1000,Hard,46.4,7.2,C,Array/Dynamic Programming/Prefix Sum,Uber
632,Minimum Difference in Sums After Removal of Elements,2163,Hard,69.6,7.2,C,Array/Dynamic Programming/Heap,Uber
633,Minimum Jumps to Reach End via Prime Teleportation,3629,Medium,44.6,7.2,C,Array/Hash Table/Math/BFS,Uber
634,Minimum Number of Changes to Make Binary String Beautiful,2914,Medium,76.4,7.2,C,String,Uber
635,Minimum Number of Taps to Open to Water a Garden,1326,Hard,51.0,7.2,C,Array/Dynamic Programming/Greedy,Uber
636,My Calendar II,731,Medium,63.3,7.2,C,Array/Binary Search/Design/Prefix Sum,Uber
637,Number of Distinct Substrings in a String,1698,Medium,64.7,7.2,C,String/Trie/Rolling Hash/Suffix Array,Uber
638,Number of Subarrays That Match a Pattern I,3034,Medium,68.7,7.2,C,Array/Rolling Hash/String Matching,Uber
639,Number of Subarrays with Bounded Maximum,795,Medium,55.1,7.2,C,Array/Two Pointers,Uber
640,Ones and Zeroes,474,Medium,53.5,7.2,C,Array/String/Dynamic Programming,Uber
641,Paint House,256,Medium,64.5,7.2,C,Array/Dynamic Programming,Uber
642,Path Sum,112,Easy,54.5,7.2,C,Tree/DFS/BFS,Meta
643,Possible Bipartition,886,Medium,52.8,7.2,C,DFS/BFS/Union-Find/Graph,Uber
644,Process Restricted Friend Requests,2076,Hard,60.9,7.2,C,Union-Find/Graph,Uber
645,Promise Pool,2636,Medium,79.4,7.2,C,JavaScript/Concurrency,Uber
646,Put Marbles in Bags,2551,Hard,72.1,7.2,C,Array/Greedy/Sorting/Heap,Uber
647,Random Point in Non-overlapping Rectangles,497,Medium,40.0,7.2,C,Array/Math/Binary Search/Randomized,Uber
648,Rearranging Fruits,2561,Hard,57.3,7.2,C,Array/Hash Table/Greedy/Sorting,Uber
649,Remove Comments,722,Medium,40.2,7.2,C,Array/String,Uber
650,Replace Employee ID With The Unique Identifier,1378,Easy,83.6,7.2,C,Database,Uber
651,Shortest Path to Get All Keys,864,Hard,54.7,7.2,C,Array/Bit Manipulation/BFS/Matrix,Uber
652,Simple Bank System,2043,Medium,69.7,7.2,C,Array/Hash Table/Design/Simulation,Uber
653,Spiral Matrix III,885,Medium,84.6,7.2,C,Array/Matrix/Simulation,Uber
654,Stone Game II,1140,Medium,72.8,7.2,C,Array/Math/Dynamic Programming/Game Theory/Prefix Sum,Uber
655,Strange Printer,664,Hard,61.0,7.2,C,String/Dynamic Programming,Uber
656,Strobogrammatic Number II,247,Medium,53.5,7.2,C,Recursion/Math,Uber
657,Sum of Left Leaves,404,Easy,62.9,7.2,C,Tree/DFS/BFS,Uber
658,Task Scheduler II,2365,Medium,54.9,7.2,C,Array/Hash Table/Simulation,Uber
659,Path Sum II,113,Medium,61.8,5.9,C,Backtracking/Tree/DFS,Meta
660,Permutations II,47,Medium,63.0,5.3,C,Array/Backtracking/Sorting,Meta
661,Unique Binary Search Trees II,95,Medium,62.0,4.6,C,DP/Tree/BST/Backtracking,Meta
662,Pascal's Triangle II,119,Easy,67.1,4.1,C,Array/DP,Meta
663,Spiral Matrix II,59,Medium,74.7,3.9,C,Array/Matrix/Simulation,Meta
664,Binary Tree Level Order Traversal II,107,Medium,67.7,2.2,C,Tree/BFS/Binary Tree,Meta
