Topic,Problem,Rating,Difficulty Band,Tags,Link,Companies (pattern-relevant)
Binary Search,Meeting on the Line,1600,Hard (1600-1900),"binary search, geometry, greedy, implementation, math, ternary search",https://codeforces.com/problemset/problem/1730/B,"Google, Amazon, Meta, Microsoft"
Binary Search,Modified GCD,1600,Hard (1600-1900),"binary search, number theory",https://codeforces.com/problemset/problem/75/C,"Google, Amazon, Meta, Apple"
Two Pointers,Chocolate Bunny,1600,Hard (1600-1900),"constructive algorithms, interactive, math, two pointers",https://codeforces.com/problemset/problem/1407/C,"Google, Amazon, Meta, Uber"
Two Pointers,Maximum Product Strikes Back,1600,Hard (1600-1900),"brute force, implementation, math, two pointers",https://codeforces.com/problemset/problem/1660/D,"Google, Amazon, Meta, Microsoft"
Two Pointers,Minimize The Integer,1600,Hard (1600-1900),"greedy, two pointers",https://codeforces.com/problemset/problem/1251/C,"Google, Amazon, Meta, Uber"
Strings,Decreasing String,1600,Hard (1600-1900),"implementation, strings",https://codeforces.com/problemset/problem/1886/C,"Google, Amazon, Meta, Microsoft"
Strings,Making Anti-Palindromes,1600,Hard (1600-1900),"greedy, math, strings",https://codeforces.com/problemset/problem/1822/E,"Google, Amazon, Meta, Uber"
Strings,Phoenix and Distribution,1600,Hard (1600-1900),"constructive algorithms, greedy, sortings, strings",https://codeforces.com/problemset/problem/1348/C,"Google, Amazon, Meta, Uber"
Greedy,Circle of Monsters,1600,Hard (1600-1900),"brute force, constructive algorithms, greedy, math",https://codeforces.com/problemset/problem/1334/C,"Google, Amazon, Meta, Uber"
Greedy,Multiples of Length,1600,Hard (1600-1900),"constructive algorithms, greedy, number theory",https://codeforces.com/problemset/problem/1396/A,"Google, Amazon, Uber, Apple"
Greedy,Product 1 Modulo N,1600,Hard (1600-1900),"greedy, number theory",https://codeforces.com/problemset/problem/1514/C,"Google, Amazon, Uber, Apple"
Math,Partitioning the Array,1600,Hard (1600-1900),"brute force, math, number theory",https://codeforces.com/problemset/problem/1920/C,"Google, Amazon, Meta, Uber"
Math,Row GCD,1600,Hard (1600-1900),"math, number theory",https://codeforces.com/problemset/problem/1458/A,"Google, Uber, Apple"
Math,Spreadsheet,1600,Hard (1600-1900),"implementation, math",https://codeforces.com/problemset/problem/1/B,"Google, Amazon, Meta, Microsoft"
Number Theory,Cave Painting,1600,Hard (1600-1900),"brute force, number theory",https://codeforces.com/problemset/problem/922/C,"Google, Amazon, Meta, Apple"
Number Theory,Good Triples,1600,Hard (1600-1900),"brute force, combinatorics, number theory",https://codeforces.com/problemset/problem/1907/E,"Google, Amazon, Meta, Apple"
Number Theory,LCM Challenge,1600,Hard (1600-1900),number theory,https://codeforces.com/problemset/problem/235/A,"Google, Apple"
Constructive,Cells Arrangement,1600,Hard (1600-1900),constructive algorithms,https://codeforces.com/problemset/problem/1968/E,"Google, Uber"
Constructive,Game with Chips,1600,Hard (1600-1900),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/1327/C,"Google, Amazon, Meta, Microsoft"
Constructive,Special Permutation,1600,Hard (1600-1900),constructive algorithms,https://codeforces.com/problemset/problem/1352/G,"Google, Uber"
Bitmasks,Network Mask,1600,Hard (1600-1900),"*special, bitmasks, brute force, implementation",https://codeforces.com/problemset/problem/291/C,"Google, Amazon, Meta, Microsoft"
Bitmasks,The Brand New Function,1600,Hard (1600-1900),bitmasks,https://codeforces.com/problemset/problem/243/A,"Google, Amazon"
Bitmasks,Undoubtedly Lucky Numbers,1600,Hard (1600-1900),"bitmasks, brute force, dfs and similar",https://codeforces.com/problemset/problem/244/B,"Google, Amazon, Meta"
DFS/BFS,Maze,1600,Hard (1600-1900),dfs and similar,https://codeforces.com/problemset/problem/377/A,"Google, Amazon, Meta"
DFS/BFS,The Labyrinth,1600,Hard (1600-1900),dfs and similar,https://codeforces.com/problemset/problem/616/C,"Google, Amazon, Meta"
Combinatorics,Right Triangles,1600,Hard (1600-1900),combinatorics,https://codeforces.com/problemset/problem/52/B,Google
Sorting,Day at the Beach,1600,Hard (1600-1900),sortings,https://codeforces.com/problemset/problem/599/C,"Amazon, Meta, Uber"
Sorting,Rectangles,1600,Hard (1600-1900),"geometry, implementation, sortings",https://codeforces.com/problemset/problem/1028/C,"Google, Amazon, Meta, Microsoft"
Sorting,Skyscrapers,1600,Hard (1600-1900),"implementation, sortings",https://codeforces.com/problemset/problem/1137/A,"Amazon, Meta, Microsoft, Uber"
Implementation,Circular Dance,1600,Hard (1600-1900),implementation,https://codeforces.com/problemset/problem/1095/D,"Amazon, Meta, Microsoft"
Implementation,Robot on the Board 1,1600,Hard (1600-1900),implementation,https://codeforces.com/problemset/problem/1607/E,"Amazon, Meta, Microsoft"
Implementation,The Robot,1600,Hard (1600-1900),"brute force, implementation",https://codeforces.com/problemset/problem/1468/K,"Amazon, Meta, Microsoft"
Brute Force,Magic Box,1600,Hard (1600-1900),"brute force, geometry",https://codeforces.com/problemset/problem/231/D,"Google, Amazon, Meta, Uber"
Brute Force,Perfect Pair,1600,Hard (1600-1900),brute force,https://codeforces.com/problemset/problem/317/A,"Amazon, Meta"
Brute Force,Polygon for the Angle,1600,Hard (1600-1900),"brute force, geometry",https://codeforces.com/problemset/problem/1096/C,"Google, Amazon, Meta, Uber"
Dynamic Programming,Consecutive Subsequence,1700,Hard (1600-1900),dp,https://codeforces.com/problemset/problem/977/F,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Flowers,1700,Hard (1600-1900),dp,https://codeforces.com/problemset/problem/474/D,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Number of Ways,1700,Hard (1600-1900),"binary search, brute force, data structures, dp, two pointers",https://codeforces.com/problemset/problem/466/C,"Google, Amazon, Meta, Microsoft"
Graphs,Checkposts,1700,Hard (1600-1900),"dfs and similar, graphs, two pointers",https://codeforces.com/problemset/problem/427/C,"Google, Amazon, Meta, Uber"
Graphs,Solve The Maze,1700,Hard (1600-1900),"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths",https://codeforces.com/problemset/problem/1365/D,"Google, Amazon, Meta, Microsoft"
Graphs,Valid BFS?,1700,Hard (1600-1900),"dfs and similar, graphs, shortest paths, trees",https://codeforces.com/problemset/problem/1037/D,"Google, Amazon, Meta, Microsoft"
Trees,"0, 1, 2, Tree!",1700,Hard (1600-1900),"bitmasks, brute force, greedy, implementation, trees",https://codeforces.com/problemset/problem/1950/F,"Google, Amazon, Meta, Microsoft"
Trees,Tree Pruning,1700,Hard (1600-1900),"brute force, dfs and similar, greedy, sortings, trees",https://codeforces.com/problemset/problem/2018/C,"Google, Amazon, Meta, Microsoft"
Trees,Xenia and Bit Operations,1700,Hard (1600-1900),"data structures, trees",https://codeforces.com/problemset/problem/339/D,"Google, Amazon, Meta, Microsoft"
Data Structures,Array Destruction,1700,Hard (1600-1900),"brute force, constructive algorithms, data structures, greedy, implementation, sortings",https://codeforces.com/problemset/problem/1474/C,"Google, Amazon, Meta, Microsoft"
Data Structures,Constant Palindrome Sum,1700,Hard (1600-1900),"brute force, data structures, greedy, two pointers",https://codeforces.com/problemset/problem/1343/D,"Google, Amazon, Meta, Uber"
Data Structures,Prefix Flip (Hard Version),1700,Hard (1600-1900),"constructive algorithms, data structures, implementation, strings, two pointers",https://codeforces.com/problemset/problem/1381/A2,"Google, Amazon, Meta, Microsoft"
Binary Search,Mixing Water,1700,Hard (1600-1900),"binary search, math",https://codeforces.com/problemset/problem/1359/C,"Google, Amazon, Meta, Uber"
Binary Search,Searching Local Minimum,1700,Hard (1600-1900),"binary search, interactive, ternary search",https://codeforces.com/problemset/problem/1479/A,"Google, Amazon, Meta"
Binary Search,String Game,1700,Hard (1600-1900),"binary search, greedy, strings",https://codeforces.com/problemset/problem/778/A,"Google, Amazon, Meta, Uber"
Two Pointers,Array Painting,1700,Hard (1600-1900),"constructive algorithms, greedy, two pointers",https://codeforces.com/problemset/problem/1849/D,"Google, Amazon, Meta, Uber"
Two Pointers,Neutral Tonality,1700,Hard (1600-1900),"constructive algorithms, greedy, sortings, two pointers",https://codeforces.com/problemset/problem/1893/B,"Google, Amazon, Meta, Uber"
Two Pointers,Tandem Repeats?,1700,Hard (1600-1900),"brute force, strings, two pointers",https://codeforces.com/problemset/problem/1948/D,"Google, Amazon, Meta"
Strings,Equivalent Strings,1700,Hard (1600-1900),"divide and conquer, hashing, sortings, strings",https://codeforces.com/problemset/problem/559/B,"Google, Amazon, Meta, Uber"
Strings,Novice's Mistake,1700,Hard (1600-1900),"brute force, constructive algorithms, implementation, math, strings",https://codeforces.com/problemset/problem/1992/E,"Google, Amazon, Meta, Microsoft"
Strings,Peculiar Movie Preferences,1700,Hard (1600-1900),"greedy, strings",https://codeforces.com/problemset/problem/1628/B,"Google, Amazon, Meta, Uber"
Greedy,"AND, OR and square sum",1700,Hard (1600-1900),"bitmasks, greedy, math",https://codeforces.com/problemset/problem/1368/D,"Google, Amazon, Uber, Apple"
Greedy,Cobb,1700,Hard (1600-1900),"bitmasks, brute force, greedy, math",https://codeforces.com/problemset/problem/1554/B,"Google, Amazon, Meta, Uber"
Greedy,Ehab the Xorcist,1700,Hard (1600-1900),"bitmasks, constructive algorithms, greedy, number theory",https://codeforces.com/problemset/problem/1325/D,"Google, Amazon, Uber, Apple"
Math,Another Problem About Dividing Numbers,1700,Hard (1600-1900),"constructive algorithms, math, number theory",https://codeforces.com/problemset/problem/1538/D,"Google, Uber, Apple"
Math,Deleting Divisors,1700,Hard (1600-1900),"games, math, number theory",https://codeforces.com/problemset/problem/1537/D,"Google, Uber, Apple"
Math,Even Subarrays,1700,Hard (1600-1900),"bitmasks, brute force, hashing, math, number theory",https://codeforces.com/problemset/problem/1731/C,"Google, Amazon, Meta, Uber"
Number Theory,Elections in Saransk (easy version),1700,Hard (1600-1900),number theory,https://codeforces.com/problemset/problem/2236/F1,"Google, Apple"
Number Theory,Minimize Fixed Points,1700,Hard (1600-1900),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/2123/F,"Google, Uber, Apple"
Number Theory,Simple Permutation,1700,Hard (1600-1900),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/2089/A,"Google, Uber, Apple"
Constructive,Asya And Kittens,1700,Hard (1600-1900),"constructive algorithms, dsu",https://codeforces.com/problemset/problem/1131/F,"Google, Amazon, Uber"
Constructive,Bits,1700,Hard (1600-1900),"bitmasks, constructive algorithms",https://codeforces.com/problemset/problem/484/A,"Google, Amazon, Uber"
Constructive,MAD Interactive Problem,1700,Hard (1600-1900),"constructive algorithms, implementation, interactive",https://codeforces.com/problemset/problem/2159/A,"Google, Amazon, Meta, Microsoft"
Bitmasks,Borya and Hanabi,1700,Hard (1600-1900),"bitmasks, brute force, implementation",https://codeforces.com/problemset/problem/442/A,"Google, Amazon, Meta, Microsoft"
Bitmasks,k-Interesting Pairs Of Integers,1700,Hard (1600-1900),"*special, bitmasks, brute force, meet-in-the-middle",https://codeforces.com/problemset/problem/769/D,"Google, Amazon, Meta"
DFS/BFS,Bouncy Ball,1700,Hard (1600-1900),"brute force, dfs and similar, implementation",https://codeforces.com/problemset/problem/1807/F,"Google, Amazon, Meta, Microsoft"
DFS/BFS,Forming Teams,1700,Hard (1600-1900),"dfs and similar, implementation",https://codeforces.com/problemset/problem/216/B,"Google, Amazon, Meta, Microsoft"
DFS/BFS,L-shapes,1700,Hard (1600-1900),"dfs and similar, implementation",https://codeforces.com/problemset/problem/1722/F,"Google, Amazon, Meta, Microsoft"
Combinatorics,Monotonic Renumeration,1700,Hard (1600-1900),"combinatorics, sortings",https://codeforces.com/problemset/problem/1102/E,"Google, Amazon, Meta, Uber"
Sorting,Arithmetic Progression,1700,Hard (1600-1900),"implementation, sortings",https://codeforces.com/problemset/problem/382/C,"Amazon, Meta, Microsoft, Uber"
Sorting,Yet Another Task with Queens,1700,Hard (1600-1900),sortings,https://codeforces.com/problemset/problem/131/E,"Amazon, Meta, Uber"
Implementation,BerOS file system,1700,Hard (1600-1900),implementation,https://codeforces.com/problemset/problem/20/A,"Amazon, Meta, Microsoft"
Implementation,Hills And Valleys,1700,Hard (1600-1900),"brute force, implementation",https://codeforces.com/problemset/problem/1467/B,"Amazon, Meta, Microsoft"
Implementation,Two Strings Swaps,1700,Hard (1600-1900),implementation,https://codeforces.com/problemset/problem/1006/D,"Amazon, Meta, Microsoft"
Brute Force,Brand New Easy Problem,1700,Hard (1600-1900),brute force,https://codeforces.com/problemset/problem/202/B,"Amazon, Meta"
Brute Force,Message,1700,Hard (1600-1900),brute force,https://codeforces.com/problemset/problem/156/A,"Amazon, Meta"
Brute Force,Painting the Fence,1700,Hard (1600-1900),brute force,https://codeforces.com/problemset/problem/1132/C,"Amazon, Meta"
Dynamic Programming,Carousel,1800,Hard (1600-1900),"constructive algorithms, dp, graphs, greedy, math",https://codeforces.com/problemset/problem/1328/D,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Distance in Tree,1800,Hard (1600-1900),"dfs and similar, dp, trees",https://codeforces.com/problemset/problem/161/D,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,The Sports Festival,1800,Hard (1600-1900),"dp, greedy",https://codeforces.com/problemset/problem/1509/C,"Google, Amazon, Microsoft, Uber"
Graphs,Bicycles,1800,Hard (1600-1900),"graphs, greedy, implementation, shortest paths, sortings",https://codeforces.com/problemset/problem/1915/G,"Google, Amazon, Meta, Microsoft"
Graphs,Christmas Trees,1800,Hard (1600-1900),"graphs, greedy, shortest paths",https://codeforces.com/problemset/problem/1283/D,"Google, Amazon, Meta, Uber"
Graphs,King's Path,1800,Hard (1600-1900),"dfs and similar, graphs, hashing, shortest paths",https://codeforces.com/problemset/problem/242/C,"Google, Amazon, Meta, Uber"
Trees,Edge Weight Assignment,1800,Hard (1600-1900),"bitmasks, constructive algorithms, dfs and similar, greedy, math, trees",https://codeforces.com/problemset/problem/1338/B,"Google, Amazon, Meta, Microsoft"
Trees,Uncle Bogdan and Country Happiness,1800,Hard (1600-1900),"dfs and similar, greedy, math, trees",https://codeforces.com/problemset/problem/1388/C,"Google, Amazon, Meta, Microsoft"
Trees,Vasiliy's Multiset,1800,Hard (1600-1900),"binary search, bitmasks, data structures, trees",https://codeforces.com/problemset/problem/706/D,"Google, Amazon, Meta, Microsoft"
Data Structures,Good Substrings,1800,Hard (1600-1900),"data structures, strings",https://codeforces.com/problemset/problem/271/D,"Google, Amazon, Meta"
Data Structures,Little Elephant and Array,1800,Hard (1600-1900),"constructive algorithms, data structures",https://codeforces.com/problemset/problem/220/B,"Google, Amazon, Meta, Uber"
Data Structures,Pashmak and Parmida's problem,1800,Hard (1600-1900),"data structures, divide and conquer, sortings",https://codeforces.com/problemset/problem/459/D,"Google, Amazon, Meta, Uber"
Binary Search,Count Triangles,1800,Hard (1600-1900),"binary search, implementation, math, two pointers",https://codeforces.com/problemset/problem/1355/C,"Google, Amazon, Meta, Microsoft"
Binary Search,Multiplication Table,1800,Hard (1600-1900),"binary search, brute force",https://codeforces.com/problemset/problem/448/D,"Google, Amazon, Meta"
Binary Search,Prefix-Suffix Palindrome (Hard version),1800,Hard (1600-1900),"binary search, greedy, hashing, string suffix structures, strings",https://codeforces.com/problemset/problem/1326/D2,"Google, Amazon, Meta, Uber"
Two Pointers,Copy String,1800,Hard (1600-1900),"greedy, implementation, strings, two pointers",https://codeforces.com/problemset/problem/2164/D,"Google, Amazon, Meta, Microsoft"
Two Pointers,Petya and Exam,1800,Hard (1600-1900),"greedy, sortings, two pointers",https://codeforces.com/problemset/problem/1282/C,"Google, Amazon, Meta, Uber"
Two Pointers,Send Boxes to Alice (Easy Version),1800,Hard (1600-1900),"constructive algorithms, greedy, math, number theory, ternary search, two pointers",https://codeforces.com/problemset/problem/1254/B1,"Google, Amazon, Meta, Uber"
Strings,Diane,1800,Hard (1600-1900),"constructive algorithms, greedy, strings",https://codeforces.com/problemset/problem/1554/D,"Google, Amazon, Meta, Uber"
Strings,MUH and Cube Walls,1800,Hard (1600-1900),"string suffix structures, strings",https://codeforces.com/problemset/problem/471/D,"Google, Amazon, Meta"
Strings,Recover an RBS,1800,Hard (1600-1900),"constructive algorithms, greedy, implementation, strings",https://codeforces.com/problemset/problem/1709/C,"Google, Amazon, Meta, Microsoft"
Greedy,Squaring,1800,Hard (1600-1900),"brute force, constructive algorithms, greedy, implementation, math, number theory",https://codeforces.com/problemset/problem/1995/C,"Google, Amazon, Meta, Microsoft"
Greedy,Stoned Game,1800,Hard (1600-1900),"brute force, constructive algorithms, games, greedy",https://codeforces.com/problemset/problem/1396/B,"Google, Amazon, Meta, Uber"
Greedy,Table Decorations,1800,Hard (1600-1900),greedy,https://codeforces.com/problemset/problem/478/C,"Google, Amazon, Uber"
Math,Dima and Lisa,1800,Hard (1600-1900),"brute force, math, number theory",https://codeforces.com/problemset/problem/584/D,"Google, Amazon, Meta, Uber"
Math,Power Products,1800,Hard (1600-1900),"hashing, math, number theory",https://codeforces.com/problemset/problem/1225/D,"Google, Amazon, Meta, Uber"
Math,Same GCDs,1800,Hard (1600-1900),"math, number theory",https://codeforces.com/problemset/problem/1295/D,"Google, Uber, Apple"
Number Theory,Border,1800,Hard (1600-1900),number theory,https://codeforces.com/problemset/problem/1010/C,"Google, Apple"
Number Theory,Enlarge GCD,1800,Hard (1600-1900),number theory,https://codeforces.com/problemset/problem/1034/A,"Google, Apple"
Number Theory,Vasya and Triangle,1800,Hard (1600-1900),"geometry, number theory",https://codeforces.com/problemset/problem/1030/D,"Google, Uber, Apple"
Constructive,Magic Grid,1800,Hard (1600-1900),constructive algorithms,https://codeforces.com/problemset/problem/1208/C,"Google, Uber"
Constructive,Tolik and His Uncle,1800,Hard (1600-1900),constructive algorithms,https://codeforces.com/problemset/problem/1179/B,"Google, Uber"
Constructive,Too Many Impostors (easy version),1800,Hard (1600-1900),"constructive algorithms, implementation, interactive",https://codeforces.com/problemset/problem/1617/D1,"Google, Amazon, Meta, Microsoft"
Bitmasks,Bitwise Formula,1800,Hard (1600-1900),"bitmasks, brute force, dfs and similar, expression parsing, implementation",https://codeforces.com/problemset/problem/778/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,Maximum Subsequence,1800,Hard (1600-1900),"bitmasks, divide and conquer, meet-in-the-middle",https://codeforces.com/problemset/problem/888/E,"Google, Amazon"
DFS/BFS,Chamber of Secrets,1800,Hard (1600-1900),"dfs and similar, shortest paths",https://codeforces.com/problemset/problem/173/B,"Google, Amazon, Meta, Uber"
DFS/BFS,One-Based Arithmetic,1800,Hard (1600-1900),"brute force, dfs and similar, divide and conquer",https://codeforces.com/problemset/problem/440/C,"Google, Amazon, Meta"
Shortest Paths,String Problem,1800,Hard (1600-1900),shortest paths,https://codeforces.com/problemset/problem/33/B,"Google, Amazon, Uber"
Combinatorics,Beautiful Numbers,1800,Hard (1600-1900),"brute force, combinatorics",https://codeforces.com/problemset/problem/300/C,"Google, Amazon, Meta"
Combinatorics,Number Of Permutations,1800,Hard (1600-1900),combinatorics,https://codeforces.com/problemset/problem/1207/D,Google
Combinatorics,The Wall (medium),1800,Hard (1600-1900),combinatorics,https://codeforces.com/problemset/problem/690/D2,Google
Hashing,Cutting Jigsaw Puzzle,1800,Hard (1600-1900),"hashing, implementation",https://codeforces.com/problemset/problem/54/B,"Amazon, Meta, Microsoft"
Sorting,Cute Subsequences,1800,Hard (1600-1900),"*special, sortings",https://codeforces.com/problemset/problem/2079/D,"Amazon, Meta, Uber"
Sorting,Median on Segments (Permutations Edition),1800,Hard (1600-1900),sortings,https://codeforces.com/problemset/problem/1005/E1,"Amazon, Meta, Uber"
Sorting,Unsorting Array,1800,Hard (1600-1900),"brute force, sortings",https://codeforces.com/problemset/problem/252/B,"Amazon, Meta, Uber"
Implementation,Busy Robot,1800,Hard (1600-1900),implementation,https://codeforces.com/problemset/problem/1463/C,"Amazon, Meta, Microsoft"
Implementation,Compressed Bracket Sequence,1800,Hard (1600-1900),"brute force, implementation",https://codeforces.com/problemset/problem/1556/C,"Amazon, Meta, Microsoft"
Implementation,Tic-tac-toe,1800,Hard (1600-1900),"brute force, games, implementation",https://codeforces.com/problemset/problem/3/C,"Google, Amazon, Meta, Microsoft"
Brute Force,Dark Assembly,1800,Hard (1600-1900),"brute force, probabilities",https://codeforces.com/problemset/problem/105/B,"Google, Amazon, Meta"
Brute Force,Minimum on Subarrays,1800,Hard (1600-1900),"*special, brute force",https://codeforces.com/problemset/problem/2141/C,"Amazon, Meta"
Brute Force,Trees,1800,Hard (1600-1900),brute force,https://codeforces.com/problemset/problem/58/C,"Amazon, Meta"
Dynamic Programming,Longest Regular Bracket Sequence,1900,Hard (1600-1900),"constructive algorithms, data structures, dp, greedy, sortings, strings",https://codeforces.com/problemset/problem/5/C,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Modulo Sum,1900,Hard (1600-1900),"combinatorics, data structures, dp, two pointers",https://codeforces.com/problemset/problem/577/B,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Zuma,1900,Hard (1600-1900),dp,https://codeforces.com/problemset/problem/607/B,"Google, Amazon, Microsoft, Uber"
Graphs,Dijkstra?,1900,Hard (1600-1900),"graphs, shortest paths",https://codeforces.com/problemset/problem/20/C,"Google, Amazon, Meta, Uber"
Graphs,Roads not only in Berland,1900,Hard (1600-1900),"dsu, graphs, trees",https://codeforces.com/problemset/problem/25/D,"Google, Amazon, Meta, Microsoft"
Graphs,Tree Queries,1900,Hard (1600-1900),"dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/1328/E,"Google, Amazon, Meta, Microsoft"
Trees,Enemy is weak,1900,Hard (1600-1900),"data structures, trees",https://codeforces.com/problemset/problem/61/E,"Google, Amazon, Meta, Microsoft"
Trees,Fools and Roads,1900,Hard (1600-1900),"data structures, dfs and similar, trees",https://codeforces.com/problemset/problem/191/C,"Google, Amazon, Meta, Microsoft"
Trees,XOR Construction,1900,Hard (1600-1900),"bitmasks, constructive algorithms, data structures, math, string suffix structures, trees",https://codeforces.com/problemset/problem/1895/D,"Google, Amazon, Meta, Microsoft"
Data Structures,Multiset,1900,Hard (1600-1900),"binary search, data structures",https://codeforces.com/problemset/problem/1354/D,"Google, Amazon, Meta"
Data Structures,Replace the Numbers,1900,Hard (1600-1900),"constructive algorithms, data structures, dsu, implementation",https://codeforces.com/problemset/problem/1620/E,"Google, Amazon, Meta, Microsoft"
Data Structures,Zigzags,1900,Hard (1600-1900),"brute force, combinatorics, data structures, math, two pointers",https://codeforces.com/problemset/problem/1400/D,"Google, Amazon, Meta, Uber"
Binary Search,Guessing the Greatest (hard version),1900,Hard (1600-1900),"binary search, interactive",https://codeforces.com/problemset/problem/1486/C2,"Google, Amazon, Meta"
Binary Search,Magic Ship,1900,Hard (1600-1900),binary search,https://codeforces.com/problemset/problem/1117/C,"Google, Amazon, Meta"
Binary Search,Phoenix and Science,1900,Hard (1600-1900),"binary search, constructive algorithms, greedy, implementation, math",https://codeforces.com/problemset/problem/1348/D,"Google, Amazon, Meta, Microsoft"
Two Pointers,Binary Literature,1900,Hard (1600-1900),"constructive algorithms, greedy, implementation, strings, two pointers",https://codeforces.com/problemset/problem/1508/A,"Google, Amazon, Meta, Microsoft"
Two Pointers,Good Triple,1900,Hard (1600-1900),"brute force, two pointers",https://codeforces.com/problemset/problem/1168/B,"Amazon, Meta"
Two Pointers,The Butcher,1900,Hard (1600-1900),"geometry, greedy, implementation, sortings, two pointers",https://codeforces.com/problemset/problem/1819/B,"Google, Amazon, Meta, Microsoft"
Strings,Dasha and Nightmares,1900,Hard (1600-1900),"bitmasks, hashing, meet-in-the-middle, strings",https://codeforces.com/problemset/problem/1800/F,"Google, Amazon, Meta"
Strings,Print a 1337-string...,1900,Hard (1600-1900),"combinatorics, constructive algorithms, math, strings",https://codeforces.com/problemset/problem/1202/D,"Google, Amazon, Meta, Uber"
Strings,Tavas and Malekas,1900,Hard (1600-1900),"greedy, hashing, string suffix structures, strings",https://codeforces.com/problemset/problem/535/D,"Google, Amazon, Meta, Uber"
Greedy,A/B Matrix,1900,Hard (1600-1900),"constructive algorithms, greedy, math",https://codeforces.com/problemset/problem/1360/G,"Google, Amazon, Uber, Apple"
Greedy,Fill The Bag,1900,Hard (1600-1900),"bitmasks, greedy",https://codeforces.com/problemset/problem/1303/D,"Google, Amazon, Uber"
Greedy,Gargari and Bishops,1900,Hard (1600-1900),"greedy, hashing, implementation",https://codeforces.com/problemset/problem/463/C,"Google, Amazon, Meta, Microsoft"
Math,Divisible Numbers (hard version),1900,Hard (1600-1900),"brute force, math, number theory",https://codeforces.com/problemset/problem/1744/E2,"Google, Amazon, Meta, Uber"
Math,Dual (Hard Version),1900,Hard (1600-1900),"constructive algorithms, math",https://codeforces.com/problemset/problem/1854/A2,"Google, Uber, Apple"
Math,K-good,1900,Hard (1600-1900),"constructive algorithms, math, number theory",https://codeforces.com/problemset/problem/1656/D,"Google, Uber, Apple"
Number Theory,Lucky Permutation,1900,Hard (1600-1900),"brute force, combinatorics, number theory",https://codeforces.com/problemset/problem/121/C,"Google, Amazon, Meta, Apple"
Number Theory,Shaass and Lights,1900,Hard (1600-1900),"combinatorics, number theory",https://codeforces.com/problemset/problem/294/C,"Google, Apple"
Constructive,Maximum Subsequence Value,1900,Hard (1600-1900),"brute force, constructive algorithms",https://codeforces.com/problemset/problem/1365/E,"Google, Amazon, Meta, Uber"
Constructive,Palindrome Game (hard version),1900,Hard (1600-1900),"constructive algorithms, games",https://codeforces.com/problemset/problem/1527/B2,"Google, Uber"
Constructive,Replace by MEX,1900,Hard (1600-1900),"brute force, constructive algorithms, sortings",https://codeforces.com/problemset/problem/1375/D,"Google, Amazon, Meta, Uber"
Union-Find (DSU),The Child and Zoo,1900,Hard (1600-1900),"dsu, sortings",https://codeforces.com/problemset/problem/437/D,"Google, Amazon, Meta, Uber"
Bitmasks,Hongcow's Game,1900,Hard (1600-1900),"bitmasks, divide and conquer, interactive",https://codeforces.com/problemset/problem/744/B,"Google, Amazon"
Bitmasks,Open Communication,1900,Hard (1600-1900),"bitmasks, brute force",https://codeforces.com/problemset/problem/993/B,"Google, Amazon, Meta"
DFS/BFS,"Paint it really, really dark gray",1900,Hard (1600-1900),dfs and similar,https://codeforces.com/problemset/problem/717/E,"Google, Amazon, Meta"
Shortest Paths,Volleyball,1900,Hard (1600-1900),shortest paths,https://codeforces.com/problemset/problem/95/C,"Google, Amazon, Uber"
Divide & Conquer,Minimum Sum,1900,Hard (1600-1900),"divide and conquer, geometry, sortings",https://codeforces.com/problemset/problem/120/J,"Google, Amazon, Meta, Uber"
Implementation,Almost Regular Bracket Sequence,1900,Hard (1600-1900),implementation,https://codeforces.com/problemset/problem/1095/E,"Amazon, Meta, Microsoft"
Implementation,Barcelonian Distance,1900,Hard (1600-1900),"geometry, implementation",https://codeforces.com/problemset/problem/1032/D,"Google, Amazon, Meta, Microsoft"
Implementation,Bear and Up-Down,1900,Hard (1600-1900),"brute force, implementation",https://codeforces.com/problemset/problem/653/C,"Amazon, Meta, Microsoft"
Brute Force,A Map of the Cat,1900,Hard (1600-1900),"*special, brute force, interactive",https://codeforces.com/problemset/problem/952/B,"Amazon, Meta"
Brute Force,Lucky Probability,1900,Hard (1600-1900),"brute force, probabilities",https://codeforces.com/problemset/problem/109/B,"Google, Amazon, Meta"
Brute Force,Power Transmission (Easy Edition),1900,Hard (1600-1900),"brute force, geometry",https://codeforces.com/problemset/problem/1163/C1,"Google, Amazon, Meta, Uber"
Dynamic Programming,Clear the String,2000,Very Hard (2000-2200+),dp,https://codeforces.com/problemset/problem/1132/F,"Google, Amazon, Microsoft, Uber"
